TIME	SSID	RSSI	CHANNEL	TAG
08:49:30:348	SWSGP06	-57	7	0
08:49:30:348	S3GS_0611	-91	6	0
08:49:30:348	TP-LINK_3G	-57	1	0
08:49:30:348	OpenWrt4310	-64	3	0
08:49:35:154	SWSGP06	-64	7	0
08:49:35:154	S3GS_0611	-94	6	0
08:49:35:154	OpenWrt4310	-54	3	0
08:49:35:154	TP-LINK_3G	-55	1	0
08:49:43:156	SWSGP06	-70	7	0
08:49:43:156	OpenWrt4310	-54	3	0
08:49:43:156	TP-LINK_3G	-69	1	0
08:49:44:215	SWSGP06	-76	7	0
08:49:44:215	OpenWrt4310	-62	3	0
08:49:44:215	TP-LINK_3G	-70	1	0
08:49:45:275	SWSGP06	-74	7	0
08:49:45:275	OpenWrt4310	-63	3	0
08:49:45:275	TP-LINK_3G	-70	1	0
08:49:47:158	SWSGP06	-75	7	0
08:49:47:158	OpenWrt4310	-66	3	0
08:49:47:158	TP-LINK_3G	-71	1	0
08:49:49:154	SWSGP06	-90	7	0
08:49:49:154	welcome	-93	6	0
08:49:49:154	TP-LINK_3G	-68	1	0
08:49:49:154	OpenWrt4310	-69	3	0
08:49:50:214	SWSGP06	-73	7	0
08:49:50:214	welcome	-91	6	0
08:49:50:214	TP-LINK_3G	-68	1	0
08:49:50:214	OpenWrt4310	-69	3	0
08:49:51:288	SWSGP06	-69	7	0
08:49:51:288	belkin.ea4	-99	1	0
08:49:51:288	OpenWrt4310	-72	3	0
08:49:51:288	TP-LINK_3G	-75	1	0
08:49:52:349	SWSGP06	-70	7	0
08:49:52:349	welcome	-96	6	0
08:49:52:349	OpenWrt4310	-69	3	0
08:49:52:349	TP-LINK_3G	-75	1	0
08:49:55:153	SWSGP06	-73	7	0
08:49:55:153	TP-LINK_3G	-66	1	0
08:49:55:153	OpenWrt4310	-69	3	0
08:49:56:227	SWSGP06	-85	7	0
08:49:56:227	TP-LINK_3G	-59	1	0
08:49:56:227	OpenWrt4310	-65	3	0
08:49:57:343	SWSGP06	-76	7	0
08:49:57:343	TP-LINK_3G	-59	1	0
08:49:57:343	OpenWrt4310	-66	3	0
08:49:58:402	SWSGP06	-81	7	0
08:49:58:402	TP-LINK_3G	-59	1	0
08:49:58:402	OpenWrt4310	-67	3	0
08:49:59:462	SWSGP06	-82	7	0
08:49:59:462	S3GS_0611	-98	6	0
08:49:59:462	TP-LINK_3G	-59	1	0
08:49:59:462	OpenWrt4310	-61	3	0
08:50:07:154	SWSGP06	-73	7	0
08:50:07:154	OpenWrt4310	-59	3	0
08:50:07:154	TP-LINK_3G	-64	1	0
08:50:08:214	SWSGP06	-58	7	0
08:50:08:214	S3GS_0611	-94	6	0
08:50:08:214	TP-LINK_3G	-51	1	0
08:50:08:214	OpenWrt4310	-55	3	0
08:50:10:154	SWSGP06	-79	7	0
08:50:10:154	S3GS_0611	-90	6	0
08:50:10:154	OpenWrt4310	-50	3	0
08:50:10:154	TP-LINK_3G	-53	1	0
08:50:11:213	SWSGP06	-56	7	0
08:50:11:213	S3GS_0611	-98	6	0
08:50:11:213	TP-LINK_3G	-51	1	0
08:50:11:213	OpenWrt4310	-56	3	0
08:50:15:160	SWSGP06	-54	7	0
08:50:15:160	S3GS_0611	-96	6	0
08:50:15:160	OpenWrt4310	-53	3	0
08:50:15:160	TP-LINK_3G	-55	1	0
08:50:23:156	SWSGP06	-59	7	0
08:50:23:156	S3GS_0611	-98	6	0
08:50:23:156	TP-LINK_3G	-63	1	0
08:50:23:156	OpenWrt4310	-67	3	0
08:50:31:156	SWSGP06	-60	7	0
08:50:31:156	S3GS_0611	-97	6	0
08:50:31:156	TP-LINK_3G	-43	1	0
08:50:31:156	OpenWrt4310	-61	3	0
08:50:32:217	SWSGP06	-56	7	0
08:50:32:217	S3GS_0611	-95	6	0
08:50:32:217	TP-LINK_3G	-45	1	0
08:50:32:217	OpenWrt4310	-62	3	0
08:50:33:305	SWSGP06	-55	7	0
08:50:33:305	TP-LINK_3G	-40	1	0
08:50:33:305	OpenWrt4310	-52	3	0
08:50:34:364	SWSGP06	-51	7	0
08:50:34:364	S3GS_0611	-95	6	0
08:50:34:364	TP-LINK_3G	-41	1	0
08:50:34:364	OpenWrt4310	-49	3	0
08:50:39:156	SWSGP06	-53	7	0
08:50:39:156	S3GS_0611	-94	6	0
08:50:39:156	TP-LINK_3G	-48	1	0
08:50:39:156	OpenWrt4310	-49	3	0
08:50:47:154	SWSGP06	-58	7	0
08:50:47:154	S3GS_0611	-97	6	0
08:50:47:154	TP-LINK_3G	-50	1	0
08:50:47:154	OpenWrt4310	-57	3	0
08:50:52:156	SWSGP06	-60	7	0
08:50:52:156	TP-LINK_3G	-34	1	0
08:50:52:156	OpenWrt4310	-53	3	0
08:50:53:241	SWSGP06	-70	7	0
08:50:53:241	S3GS_0611	-92	6	0
08:50:53:241	TP-LINK_3G	-32	1	0
08:50:54:313	SWSGP06	-63	7	0
08:50:54:313	TP-LINK_3G	-35	1	0
08:50:55:373	SWSGP06	-62	7	0
08:50:55:373	TP-LINK_3G	-34	1	0
08:50:56:495	SWSGP06	-62	7	0
08:50:56:495	S3GS_0611	-99	6	0
08:50:56:495	TP-LINK_3G	-36	1	0
08:50:57:571	SWSGP06	-62	7	0
08:50:57:571	S3GS_0611	-94	6	0
08:50:57:571	TP-LINK_3G	-32	1	0
